2020-02-16 01:24:02,027 [main] INFO  (TypeExtractor.java:1818) - class org.apache.flink.streaming.api.functions.source.TimestampedFileInputSplit does not contain a setter for field modificationTime
2020-02-16 01:24:02,031 [main] INFO  (TypeExtractor.java:1857) - Class class org.apache.flink.streaming.api.functions.source.TimestampedFileInputSplit cannot be used as a POJO type because not all fields are valid POJO fields, and must be processed as GenericType. Please read the Flink documentation on "Data Types & Serialization" for details of the effect on performance.
2020-02-16 01:24:02,314 [main] INFO  (LocalStreamEnvironment.java:108) - Running job on local embedded Flink mini cluster
2020-02-16 01:24:02,865 [main] INFO  (MiniCluster.java:253) - Starting Flink Mini Cluster
2020-02-16 01:24:02,868 [main] INFO  (MiniCluster.java:262) - Starting Metrics Registry
2020-02-16 01:24:02,934 [main] INFO  (MetricRegistryImpl.java:114) - No metrics reporter configured, no metrics will be exposed/reported.
2020-02-16 01:24:02,934 [main] INFO  (MiniCluster.java:266) - Starting RPC Service(s)
2020-02-16 01:24:03,763 [flink-akka.actor.default-dispatcher-2] INFO  (Slf4jLogger.scala:92) - Slf4jLogger started
2020-02-16 01:24:04,149 [main] INFO  (BootstrapTools.java:244) - Trying to start actor system at :0
2020-02-16 01:24:04,250 [flink-metrics-2] INFO  (Slf4jLogger.scala:92) - Slf4jLogger started
2020-02-16 01:24:04,277 [flink-metrics-2] INFO  (MarkerIgnoringBase.java:107) - Starting remoting
2020-02-16 01:24:04,447 [flink-metrics-2] INFO  (MarkerIgnoringBase.java:107) - Remoting started; listening on addresses :[akka.tcp://flink-metrics@127.0.1.1:39211]
2020-02-16 01:24:04,495 [main] INFO  (BootstrapTools.java:256) - Actor system started at akka.tcp://flink-metrics@127.0.1.1:39211
2020-02-16 01:24:04,502 [main] INFO  (AkkaRpcService.java:223) - Starting RPC endpoint for org.apache.flink.runtime.metrics.dump.MetricQueryService at akka://flink-metrics/user/MetricQueryService .
2020-02-16 01:24:04,520 [main] INFO  (MiniCluster.java:397) - Starting high-availability services
2020-02-16 01:24:04,535 [main] INFO  (BlobServer.java:141) - Created BLOB server storage directory /tmp/blobStore-238cdfcc-a343-49a5-9606-8eddaa8113c5
2020-02-16 01:24:04,540 [main] INFO  (BlobServer.java:203) - Started BLOB server at 0.0.0.0:40597 - max concurrent requests: 50 - max backlog: 1000
2020-02-16 01:24:04,546 [main] INFO  (AbstractBlobCache.java:107) - Created BLOB cache storage directory /tmp/blobStore-3a3a43fe-d701-43bf-b817-b5b3d4480bdc
2020-02-16 01:24:04,548 [main] INFO  (AbstractBlobCache.java:107) - Created BLOB cache storage directory /tmp/blobStore-83db74d1-61f6-4653-a6ea-e108f1449b5f
2020-02-16 01:24:04,548 [main] INFO  (MiniCluster.java:479) - Starting 1 TaskManger(s)
2020-02-16 01:24:04,551 [main] INFO  (TaskManagerRunner.java:351) - Starting TaskManager with ResourceID: 7640ae59-c5bb-498d-9b1e-b320435ed961
2020-02-16 01:24:04,702 [main] INFO  (TaskManagerServices.java:519) - Temporary file directory '/tmp': total 439 GB, usable 336 GB (76.54% usable)
2020-02-16 01:24:04,705 [main] INFO  (FileChannelManagerImpl.java:76) - FileChannelManager uses directory /tmp/flink-io-e76d5893-ba8a-439f-88e3-93b632aa3a1b for spill files.
2020-02-16 01:24:04,714 [main] INFO  (FileChannelManagerImpl.java:76) - FileChannelManager uses directory /tmp/flink-netty-shuffle-ffbe5877-065d-4c1b-bc27-51f7223465e8 for spill files.
2020-02-16 01:24:05,496 [main] INFO  (NetworkBufferPool.java:140) - Allocated 191 MB for network buffer pool (number of memory segments: 6113, bytes per segment: 32768).
2020-02-16 01:24:05,591 [main] INFO  (NettyShuffleEnvironment.java:283) - Starting the network environment and its components.
2020-02-16 01:24:05,592 [main] INFO  (KvStateService.java:89) - Starting the kvState service and its components.
2020-02-16 01:24:05,593 [main] INFO  (TaskManagerServices.java:364) - Limiting managed memory to 0.7 of the currently free heap space (1195 MB), memory will be allocated lazily.
2020-02-16 01:24:05,630 [main] INFO  (TaskManagerConfiguration.java:197) - Messages have a max timeout of 10000 ms
2020-02-16 01:24:05,640 [main] INFO  (AkkaRpcService.java:223) - Starting RPC endpoint for org.apache.flink.runtime.taskexecutor.TaskExecutor at akka://flink/user/taskmanager_0 .
2020-02-16 01:24:05,653 [flink-akka.actor.default-dispatcher-3] INFO  (JobLeaderService.java:125) - Start job leader service.
2020-02-16 01:24:05,659 [flink-akka.actor.default-dispatcher-3] INFO  (FileCache.java:107) - User file cache uses directory /tmp/flink-dist-cache-34035a43-5d9f-462f-82ae-93f8d41a630d
2020-02-16 01:24:05,714 [main] INFO  (RestServerEndpoint.java:136) - Starting rest endpoint.
2020-02-16 01:24:05,968 [main] WARN  (WebMonitorUtils.java:87) - Log file environment variable 'log.file' is not set.
2020-02-16 01:24:05,968 [main] WARN  (WebMonitorUtils.java:93) - JobManager log files are unavailable in the web dashboard. Log file location not found in environment variable 'log.file' or configuration key 'Key: 'web.log.path' , default: null (fallback keys: [{key=jobmanager.web.log.path, isDeprecated=true}])'.
2020-02-16 01:24:05,980 [main] INFO  (DispatcherRestEndpoint.java:113) - Failed to load web based job submission extension. Probable reason: flink-runtime-web is not in the classpath.
2020-02-16 01:24:06,183 [main] INFO  (RestServerEndpoint.java:233) - Rest endpoint listening at localhost:34493
